time_value,viral_activity_level,viral_activity_level_num,viral_activity_level_cat,geo_value,geo_res
2021-09-12,,,,Virginia,state
2021-09-19,,,,Virginia,state
2021-09-26,,,,Virginia,state
2021-10-03,,,,Virginia,state
2021-10-10,,,,Virginia,state
2021-10-17,,,,Virginia,state
2021-10-24,3.2564186480779798,3.0,moderate,Virginia,state
2021-10-31,1.7036269608125925,2.0,low,Virginia,state
2021-11-07,2.9619117773588037,2.0,low,Virginia,state
2021-11-14,3.7729510414462766,3.0,moderate,Virginia,state
2021-11-21,4.983375098961394,4.0,high,Virginia,state
2021-11-28,10.182489030618951,5.0,very high,Virginia,state
2021-12-05,9.163363787394665,5.0,very high,Virginia,state
2021-12-12,6.098733122670522,4.0,high,Virginia,state
2021-12-19,15.458902705091951,5.0,very high,Virginia,state
2021-12-26,20.71432995439772,5.0,very high,Virginia,state
2022-01-02,15.34188556913021,5.0,very high,Virginia,state
2022-01-09,15.038345121750227,5.0,very high,Virginia,state
2022-01-16,9.628548363207257,5.0,very high,Virginia,state
2022-01-23,4.028661634514136,3.0,moderate,Virginia,state
2022-01-30,4.1916797749985415,3.0,moderate,Virginia,state
2022-02-06,2.809311515120368,2.0,low,Virginia,state
2022-02-13,2.000047840695492,2.0,low,Virginia,state
2022-02-20,1.6523337018916566,2.0,low,Virginia,state
2022-02-27,0.7806163544352327,1.0,minimal,Virginia,state
2022-03-06,0.8401650945468937,1.0,minimal,Virginia,state
2022-03-13,0.7736442203765348,1.0,minimal,Virginia,state
2022-03-20,0.6876624791485129,1.0,minimal,Virginia,state
2022-03-27,0.6452365483120478,1.0,minimal,Virginia,state
2022-04-03,1.1787321083585764,1.0,minimal,Virginia,state
2022-04-10,1.7071902547254183,2.0,low,Virginia,state
2022-04-17,2.633894209521202,2.0,low,Virginia,state
2022-04-24,1.8145748745539163,2.0,low,Virginia,state
2022-05-01,2.635072809688061,2.0,low,Virginia,state
2022-05-08,2.3387482994306996,2.0,low,Virginia,state
2022-05-15,3.97548804447596,3.0,moderate,Virginia,state
2022-05-22,4.301133900372669,3.0,moderate,Virginia,state
2022-05-29,3.827003447611145,3.0,moderate,Virginia,state
2022-06-05,5.477847665892948,4.0,high,Virginia,state
2022-06-12,4.429520833361862,3.0,moderate,Virginia,state
2022-06-19,4.527533005497894,4.0,high,Virginia,state
2022-06-26,3.101076939533275,3.0,moderate,Virginia,state
2022-07-03,7.86868268923432,4.0,high,Virginia,state
2022-07-10,4.7868778165804216,4.0,high,Virginia,state
2022-07-17,6.582767804825706,4.0,high,Virginia,state
2022-07-24,6.0197307412934284,4.0,high,Virginia,state
2022-07-31,5.421564498588835,4.0,high,Virginia,state
2022-08-07,5.009967223663679,4.0,high,Virginia,state
2022-08-14,4.93718619795364,4.0,high,Virginia,state
2022-08-21,5.797060843932209,4.0,high,Virginia,state
2022-08-28,5.225938346756605,4.0,high,Virginia,state
2022-09-04,5.474857070782043,4.0,high,Virginia,state
2022-09-11,5.586975226335937,4.0,high,Virginia,state
2022-09-18,1.6296359197410617,2.0,low,Virginia,state
2022-09-25,2.045728484177329,2.0,low,Virginia,state
2022-10-02,2.577460393032849,2.0,low,Virginia,state
2022-10-09,2.5293715557067284,2.0,low,Virginia,state
2022-10-16,2.521983037073076,2.0,low,Virginia,state
2022-10-23,2.632741745846109,2.0,low,Virginia,state
2022-10-30,2.571467980675406,2.0,low,Virginia,state
2022-11-06,2.676073032254104,2.0,low,Virginia,state
2022-11-13,2.863700128145549,2.0,low,Virginia,state
2022-11-20,2.961224685639941,2.0,low,Virginia,state
2022-11-27,6.516572642240905,4.0,high,Virginia,state
2022-12-04,4.8602804297589675,4.0,high,Virginia,state
2022-12-11,7.172907472514896,4.0,high,Virginia,state
2022-12-18,8.923309851283594,5.0,very high,Virginia,state
2022-12-25,10.302600981900683,5.0,very high,Virginia,state
2023-01-01,7.785960743751962,4.0,high,Virginia,state
2023-01-08,6.299652861196947,4.0,high,Virginia,state
2023-01-15,4.912827625169031,4.0,high,Virginia,state
2023-01-22,4.55956899989045,4.0,high,Virginia,state
2023-01-29,5.100857823048802,4.0,high,Virginia,state
2023-02-05,5.160778877577479,4.0,high,Virginia,state
2023-02-12,3.479232186813657,3.0,moderate,Virginia,state
2023-02-19,1.447585731080784,1.0,minimal,Virginia,state
2023-02-26,1.0945235276724916,1.0,minimal,Virginia,state
2023-03-05,0.6348724077536357,1.0,minimal,Virginia,state
2023-03-12,1.4909514903243146,1.0,minimal,Virginia,state
2023-03-19,1.4032390976615279,1.0,minimal,Virginia,state
2023-03-26,1.302377624923427,1.0,minimal,Virginia,state
2023-04-02,0.976527682556404,1.0,minimal,Virginia,state
2023-04-09,0.9172160797638484,1.0,minimal,Virginia,state
2023-04-16,0.904341957928101,1.0,minimal,Virginia,state
2023-04-23,0.6794540361518113,1.0,minimal,Virginia,state
2023-04-30,0.6584322533484842,1.0,minimal,Virginia,state
2023-05-07,0.5746005391190938,1.0,minimal,Virginia,state
2023-05-14,0.8472946708213097,1.0,minimal,Virginia,state
2023-05-21,0.3614318452194405,1.0,minimal,Virginia,state
2023-05-28,0.5528865467098752,1.0,minimal,Virginia,state
2023-06-04,0.4095149719084366,1.0,minimal,Virginia,state
2023-06-11,0.6005406619642364,1.0,minimal,Virginia,state
2023-06-18,0.39611450820883654,1.0,minimal,Virginia,state
2023-06-25,0.2860356010648175,1.0,minimal,Virginia,state
2023-07-02,1.4996924610058302,1.0,minimal,Virginia,state
2023-07-09,2.0512537872084016,2.0,low,Virginia,state
2023-07-16,1.2813256803798971,1.0,minimal,Virginia,state
2023-07-23,2.129269721578132,2.0,low,Virginia,state
2023-07-30,3.4890880822799173,3.0,moderate,Virginia,state
2023-08-06,3.320717813918696,3.0,moderate,Virginia,state
2023-08-13,4.403678719929788,3.0,moderate,Virginia,state
2023-08-20,4.3801794744732145,3.0,moderate,Virginia,state
2023-08-27,2.3125637832448307,2.0,low,Virginia,state
2023-09-03,2.685023677545023,2.0,low,Virginia,state
2023-09-10,1.765933471084009,2.0,low,Virginia,state
2023-09-17,2.594375725714998,2.0,low,Virginia,state
2023-09-24,1.7954190050879824,2.0,low,Virginia,state
2023-10-01,1.5198464589000813,2.0,low,Virginia,state
2023-10-08,1.7727673081090765,2.0,low,Virginia,state
2023-10-15,1.849976709468932,2.0,low,Virginia,state
2023-10-22,1.875676137000608,2.0,low,Virginia,state
2023-10-29,2.3815512284805016,2.0,low,Virginia,state
2023-11-05,1.7613269299404242,2.0,low,Virginia,state
2023-11-12,2.4874776123154225,2.0,low,Virginia,state
2023-11-19,3.5368313427648554,3.0,moderate,Virginia,state
2023-11-26,4.778989634041842,4.0,high,Virginia,state
2023-12-03,3.578628494627588,3.0,moderate,Virginia,state
2023-12-10,3.7665115479756968,3.0,moderate,Virginia,state
2023-12-17,6.5108076739792615,4.0,high,Virginia,state
2023-12-24,5.092404456857283,4.0,high,Virginia,state
2023-12-31,4.901451542267741,4.0,high,Virginia,state
2024-01-07,9.231425119425738,5.0,very high,Virginia,state
2024-01-14,14.456499270078321,5.0,very high,Virginia,state
2024-01-21,7.203671248230014,4.0,high,Virginia,state
2024-01-28,16.138137577882862,5.0,very high,Virginia,state
